Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),11/387,0.0084601453772652,0.0795174227478174,0,0,2.4228155119112564,11.562617907732784,FGR;CEBPB;TGFB1;GLIPR2;SLC11A1;CTNNB1;ADAM8;LILRB2;LCP1;LILRA2;EREG
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),6/144,0.008717350149986,0.0803410751773902,0,0,3.5686738220847736,16.92422137062506,CDC42;FLNA;ARPC4;LCP1;MYO1F;MYO1G
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),10/336,0.0087307648555972,0.0803410751773902,0,0,2.536091894008615,12.023363894948432,CLEC4A;NOTCH2;MEF2C;TGFB1;SLC11A1;ATP2B1;HIF1A;TOB1;RPS13;ZFP36L2
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),4/66,0.0087484287655699,0.0803410751773902,0,0,5.271851157810199,24.98267615319497,JUN;FYN;FOS;HIF1A
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),4/66,0.0087484287655699,0.0803410751773902,0,0,5.271851157810199,24.98267615319497,SERPINB1;SERPINA1;NRG1;TIMP1
GO_Biological_Process_2023,Negative Regulation Of Immune Response (GO:0050777),4/66,0.0087484287655699,0.0803410751773902,0,0,5.271851157810199,24.98267615319497,FGR;IRAK3;FYN;YWHAZ
GO_Biological_Process_2023,Regulation Of Regulated Secretory Pathway (GO:1903305),3/35,0.0089018539110425,0.080583346628321,0,0,7.640625,36.07517823046688,LRRK2;RAB3D;RAB27A
GO_Biological_Process_2023,Positive Regulation Of Cell Development (GO:0010720),3/35,0.0089018539110425,0.080583346628321,0,0,7.640625,36.07517823046688,CX3CR1;CLEC7A;NUMB
GO_Biological_Process_2023,Lipoprotein Localization (GO:0044872),2/12,0.0090968213476526,0.080583346628321,0,0,16.25102880658436,76.37707643648517,VMP1;PRKCB
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle Phase Transition (GO:1901988),2/12,0.0090968213476526,0.080583346628321,0,0,16.25102880658436,76.37707643648517,ZFP36L2;ZFP36L1
GO_Biological_Process_2023,Negative Regulation Of Stem Cell Differentiation (GO:2000737),2/12,0.0090968213476526,0.080583346628321,0,0,16.25102880658436,76.37707643648517,HNRNPU;ZFP36L2
GO_Biological_Process_2023,Neutrophil Mediated Immunity (GO:0002446),2/12,0.0090968213476526,0.080583346628321,0,0,16.25102880658436,76.37707643648517,STXBP2;VAMP2
GO_Biological_Process_2023,Positive Regulation Of Regulated Secretory Pathway (GO:1903307),2/12,0.0090968213476526,0.080583346628321,0,0,16.25102880658436,76.37707643648517,RAB3D;RAB27A
